ObjectID,Crop,Variety,Seed_Date,Brand,Tray_Type,Is_Donation,Qty_Raw,Cols_Seeded,Cols_Per_Tray,Cells_Per_Tray,Trays_Seeded,Trays_Donated,Total_Trays,Est_Seedlings,Germ_Rate_Pct,Seed_Expiry,Units_Germinated
14,Spinach,Spinach,2026-03-12,High mowing,Open Flat,False,2.0,2.0,6,,0.3333333333333333,,0.3333333333333333,,,2021-01-01 17:00:00,
15,Flowers,Marigold,2026-03-12,Cornucopia,Open Flat,False,2.0,2.0,6,,0.3333333333333333,,0.3333333333333333,,,2024-12-31 17:00:00,
16,Tomato,Prince noir,2026-03-12,Rocalba,Open Flat,False,0.5,0.5,6,,0.08333333333333333,,0.08333333333333333,,,,
17,Tomato,Roma,2026-03-12,,Open Flat,False,1.5,1.5,6,,0.25,,0.25,,,,
18,Tomato,Black beauty,2026-03-12,,Open Flat,False,2.0,2.0,6,,0.3333333333333333,,0.3333333333333333,,,,
19,Herbs,Jute palava,2026-03-12,,Open Flat,False,1.0,1.0,6,,0.16666666666666666,,0.16666666666666666,,,,
20,Tomato,Cherokee purple,2026-03-26,Rohrer,Open Flat,False,1.33,1.33,6,,0.22166666666666668,,0.22166666666666668,,,2026-12-31 17:00:00,
21,Eggplant,Black beauty,2026-03-26,Garden perfect,Open Flat,False,1.0,1.0,6,,0.16666666666666666,,0.16666666666666666,,,2026-12-31 17:00:00,
22,Hot Peppers,Ghost pepper,2026-03-26,Botanical interests,Open Flat,False,0.33,0.33,6,,0.055,,0.055,,,2026-12-31 17:00:00,
23,Hot Peppers,Chocolate Trinidad scorpion,2026-03-26,,Open Flat,False,0.33,0.33,6,,0.055,,0.055,,,,
24,Flowers,Nigella (Love-in-a-mist),2026-03-26,Garden perfect,Open Flat,False,1.0,1.0,6,,0.16666666666666666,,0.16666666666666666,,,2026-12-31 17:00:00,
25,Flowers,Globe amaranth,2026-03-26,Rohrer,Open Flat,False,1.0,1.0,6,,0.16666666666666666,,0.16666666666666666,,,2026-12-31 17:00:00,
26,Flowers,Black magick bachelor’s button,2026-03-26,Botanical interests,Open Flat,False,1.0,1.0,6,,0.16666666666666666,,0.16666666666666666,,,2026-12-31 17:00:00,
27,Flowers,Mixed color snapdragon,2026-03-26,,Open Flat,False,1.0,1.0,6,,0.16666666666666666,,0.16666666666666666,,,,
28,Herbs,French sorrel,2026-03-26,Rohrer,Open Flat,False,1.0,1.0,6,,0.16666666666666666,,0.16666666666666666,,,2026-12-31 17:00:00,
29,Broccoli,Calabrese,2026-03-26,Rohrer,72-Cell Tray,False,12.0,12.0,12,72.0,1.0,,1.0,72.0,,2026-12-31 17:00:00,
30,Broccoli,Calabrese,2026-04-08,Rohrer,72-Cell Tray,False,12.0,12.0,12,72.0,1.0,,1.0,72.0,,2026-12-31 17:00:00,
31,Cabbage,Golden acre,2026-04-08,Rohrer,72-Cell Tray,False,48.0,48.0,12,72.0,4.0,,4.0,288.0,,2026-12-31 17:00:00,
32,Collard Greens,Georgia southern,2026-04-08,Rohrer,72-Cell Tray,False,72.0,72.0,12,72.0,6.0,,6.0,432.0,,2026-12-31 17:00:00,
33,Kale,Red russian,2026-04-08,Rohrer,72-Cell Tray,False,48.0,48.0,12,72.0,4.0,,4.0,288.0,,2026-12-31 17:00:00,
34,Summer Squash,Summer crookneck,2026-04-08,Rohrer,32-Cell Tray,False,8.0,8.0,8,32.0,1.0,,1.0,32.0,,2026-12-31 17:00:00,
35,Summer Squash,Cocozelle,2026-04-08,Lake Valley Organics,32-Cell Tray,False,4.0,4.0,8,32.0,0.5,,0.5,16.0,,2026-12-31 17:00:00,
36,Summer Squash,Round zucchini,2026-04-08,Rohrer,32-Cell Tray,False,4.0,4.0,8,32.0,0.5,,0.5,16.0,,2026-12-31 17:00:00,
37,Summer Squash,Sunbeam patty pan,2026-04-08,Rohrer,32-Cell Tray,False,8.0,8.0,8,32.0,1.0,,1.0,32.0,,2026-12-31 17:00:00,
38,Summer Squash,White scallop patty pan,2026-04-08,Rohrer,32-Cell Tray,False,8.0,8.0,8,32.0,1.0,,1.0,32.0,,2026-12-31 17:00:00,
39,Summer Squash,49er,2026-04-08,Rohrer,32-Cell Tray,False,8.0,8.0,8,32.0,1.0,,1.0,32.0,,2026-12-31 17:00:00,
40,Summer Squash,Early prolific straightneck,2026-04-08,Rohrer,32-Cell Tray,False,8.0,8.0,8,32.0,1.0,,1.0,32.0,,2026-12-31 17:00:00,
41,Summer Squash,Black beauty zucchini,2026-04-08,Rohrer,32-Cell Tray,False,16.0,16.0,8,32.0,2.0,,2.0,64.0,,2026-12-31 17:00:00,
42,Peanuts,,2026-04-08,Rohrer,32-Cell Tray,False,8.0,8.0,8,32.0,1.0,,1.0,32.0,,2026-12-31 17:00:00,
43,Flowers,Dahlia,2026-04-25,,50-Cell Flat,False,60.0,60.0,10,50.0,6.0,,6.0,300.0,,,
44,Flowers,Envy zinnia,2026-04-25,,50-Cell Flat,False,30.0,30.0,10,50.0,3.0,,3.0,150.0,,,
45,Flowers,Candy stripe zinnia,2026-04-25,,50-Cell Flat,False,30.0,30.0,10,50.0,3.0,,3.0,150.0,,,
46,Flowers,Cracker jack marigold,2026-04-25,,50-Cell Flat,False,45.0,45.0,10,50.0,4.5,,4.5,225.0,,,
47,Flowers,Petite marigold,2026-04-25,,50-Cell Flat,False,5.0,5.0,10,50.0,0.5,,0.5,25.0,,,
48,Herbs,Basil lemon,2026-04-25,,50-Cell Flat,False,10.0,10.0,10,50.0,1.0,,1.0,50.0,,,
49,Herbs,Basil cinnamon,2026-04-25,,50-Cell Flat,False,10.0,10.0,10,50.0,1.0,,1.0,50.0,,,
50,Herbs,Cilantro,2026-04-25,,50-Cell Flat,False,70.0,70.0,10,50.0,7.0,,7.0,350.0,,,
51,Flowers,Bloody mary,2026-04-25,,50-Cell Flat,False,20.0,20.0,10,50.0,2.0,,2.0,100.0,,,
52,Flowers,Ruby,2026-04-25,,50-Cell Flat,False,40.0,40.0,10,50.0,4.0,,4.0,200.0,,,
53,Flowers,Clemson,2026-04-25,,50-Cell Flat,False,20.0,20.0,10,50.0,2.0,,2.0,100.0,,,
54,Flowers,Bouquet,2026-04-25,,50-Cell Flat,False,40.0,40.0,10,50.0,4.0,,4.0,200.0,,,
55,Herbs,Gomphocarpus physocarpus (hairy balls),,,51-Cell Tray,True,1.0,,10,51.0,,1.0,1.0,51.0,,,
56,Tomato,Amish paste,,,51-Cell Tray,True,2.0,,10,51.0,,2.0,2.0,102.0,,,
57,Eggplant,Rosa bianca,,,51-Cell Tray,True,5.0,,10,51.0,,5.0,5.0,255.0,,,
58,Tomato,Sun golds,,,51-Cell Tray,True,2.0,,10,51.0,,2.0,2.0,102.0,,,
59,Sweet or Seasoning Peppers,Snackbelle red,,,51-Cell Tray,True,2.0,,10,51.0,,2.0,2.0,102.0,,,
60,Sweet or Seasoning Peppers,Better belle,,,51-Cell Tray,True,1.0,,10,51.0,,1.0,1.0,51.0,,,
61,Kale,Lacinato,,,51-Cell Tray,True,3.0,,10,51.0,,3.0,3.0,153.0,,,
62,Tomato,Early girl,,,51-Cell Tray,True,4.0,,10,51.0,,4.0,4.0,204.0,,,
63,Tomato,Bush early girl,,,51-Cell Tray,True,1.0,,10,51.0,,1.0,1.0,51.0,,,
64,Tomato,Little sicily,,,51-Cell Tray,True,1.0,,10,51.0,,1.0,1.0,51.0,,,
65,Hot Peppers,Serrano,,,51-Cell Tray,True,2.0,,10,51.0,,2.0,2.0,102.0,,,
66,Tomato,Black cherry,,,51-Cell Tray,True,2.0,,10,51.0,,2.0,2.0,102.0,,,
67,Hot Peppers,Jalapeno,,,51-Cell Tray,True,1.0,,10,51.0,,1.0,1.0,51.0,,,
68,Scallion Chives,,,,51-Cell Tray,True,1.0,,10,51.0,,1.0,1.0,51.0,,,
69,Hot Peppers,Ancho poblano,,,51-Cell Tray,True,2.0,,10,51.0,,2.0,2.0,102.0,,,
70,Sweet or Seasoning Peppers,Mini bell pepper,,,51-Cell Tray,True,1.0,,10,51.0,,1.0,1.0,51.0,,,
71,Tomato,Little bing,,,51-Cell Tray,True,2.0,,10,51.0,,2.0,2.0,102.0,,,
72,Tomato,Black krim,,,51-Cell Tray,True,3.0,,10,51.0,,3.0,3.0,153.0,,,
73,Herbs,Basil genovese,,,51-Cell Tray,True,0.5,,10,51.0,,0.5,0.5,26.0,,,
74,Eggplant,Asian delight,,,51-Cell Tray,True,3.5,,10,51.0,,3.5,3.5,178.0,,,
75,Sweet or Seasoning Peppers,Giant marconi,,,51-Cell Tray,True,2.5,,10,51.0,,2.5,2.5,128.0,,,
76,Summer Squash,Green zebra,,,51-Cell Tray,True,1.0,,10,51.0,,1.0,1.0,51.0,,,
77,Herbs,Parsley,,,Pot,True,70.0,,1,1.0,,70.0,70.0,70.0,,,
78,Herbs,Cilantro,,,Pot,True,70.0,,1,1.0,,70.0,70.0,70.0,,,
79,Legumes,Sugar snap,,,Pot,True,10.0,,1,1.0,,10.0,10.0,10.0,,,
80,Legumes,Runner beans,,,Pot,True,28.0,,1,1.0,,28.0,28.0,28.0,,,
81,Summer Squash,Bush baby,,,Pot,True,10.0,,1,1.0,,10.0,10.0,10.0,,,
82,Corn,Natural sweet bicolor,,,Pot,True,30.0,,1,1.0,,30.0,30.0,30.0,,,
83,Winter Squash,Long island cheese,,,Pot,True,70.0,,1,1.0,,70.0,70.0,70.0,,,
84,Cukes,Pickalot,,,Pot,True,30.0,,1,1.0,,30.0,30.0,30.0,,,
85,Flowers,Nasartium,,,Basket,True,9.0,,1,1.0,,9.0,9.0,9.0,,,
86,Ground Cherry,,2026-03-26,,Open Flat,False,1.5,1.5,6,,0.25,,0.25,,,,
87,Watermelon,Sugar baby,,,Pot,True,16.0,,1,1.0,,16.0,16.0,16.0,,,
88,Watermelon,Moon and stars,,,Pot,True,4.0,,1,1.0,,4.0,4.0,4.0,,,
89,Winter Squash,Pumpkin racer plus,,,Pot,True,23.0,,1,1.0,,23.0,23.0,23.0,,,
90,Winter Squash,Spaghetti squash,,,Pot,True,18.0,,1,1.0,,18.0,18.0,18.0,,,
91,Winter Squash,Sunshine kabocha,,,Pot,True,3.0,,1,1.0,,3.0,3.0,3.0,,,
92,Winter Squash,Honeynut,,,Pot,True,5.0,,1,1.0,,5.0,5.0,5.0,,,
93,Cukes,,,,Pot,True,1.0,,1,1.0,,1.0,1.0,1.0,,,
94,Winter Squash,Kabocha,,,Pot,True,15.0,,1,1.0,,15.0,15.0,15.0,,,
95,Mustard Greens,,,,Pot,True,60.0,,1,1.0,,60.0,60.0,60.0,,,
96,Tomato,Great white,,,Pot,True,18.0,,1,1.0,,18.0,18.0,18.0,,,
97,Kale,Siberian,,,Pot,True,10.0,,1,1.0,,10.0,10.0,10.0,,,
98,Legumes,Helda pole bean,,,Pot,True,23.0,,1,1.0,,23.0,23.0,23.0,,,
99,Winter Squash,Acorn,,,Pot,True,30.0,,1,1.0,,30.0,30.0,30.0,,,
100,Summer Squash,Bush baby,,,Pot,True,30.0,,1,1.0,,30.0,30.0,30.0,,,
101,Eggplant,Black beauty,,,Pot,True,10.0,,1,1.0,,10.0,10.0,10.0,,,
